name	search_text	ric	boost
FactSet Research Systems Inc	FDS FactSet FactSet Research FactSet Research Systems FactSet Research Systems Inc	FDS.N	1.11648312
Abiomed Inc	ABMD Abiomed Abiomed Inc	ABMD.OQ	1.115780183
Masco Corp	MAS Masco Masco Corp	MAS.N	1.107453032
Burlington Stores Inc	BURL Burlington Burlington Stores Burlington Stores Inc	BURL.N	1.103049884
Equity LifeStyle Properties Inc	ELS Equity Equity LifeStyle Equity LifeStyle Properties Equity LifeStyle Properties Inc	ELS.N	1.099823851
E*TRADE Financial Corp	ETFC E*TRADE E*TRADE Financial E*TRADE Financial Corp	ETFC.OQ	1.092283911
Westinghouse Air Brake Technologies Corp	WAB Westinghouse Westinghouse Air Westinghouse Air Brake Westinghouse Air Brake Technologies Westinghouse Air Brake Technologies Corp	WAB.N	1.090861948
Universal Health Services Inc	UHS Universal Universal Health Universal Health Services Universal Health Services Inc	UHS.N	1.09017074
Tiffany & Co	TIF Tiffany Tiffany & Tiffany & Co	TIF.N	1.088783377
Seattle Genetics Inc	SGEN Seattle Seattle Genetics Seattle Genetics Inc	SGEN.OQ	1.08873915
Mohawk Industries Inc	MHK Mohawk Mohawk Industries Mohawk Industries Inc	MHK.N	1.086667735
Fidelity National Financial Inc	FNF Fidelity Fidelity National Fidelity National Financial Fidelity National Financial Inc	FNF.N	1.0794494940000001
Pinnacle West Capital Corp	PNW Pinnacle Pinnacle West Pinnacle West Capital Pinnacle West Capital Corp	PNW.N	1.078368617
Trade Desk Inc	TTD Trade Trade Desk Trade Desk Inc	TTD.OQ	1.074516206
Advance Auto Parts Inc	AAP Advance Advance Auto Advance Auto Parts Advance Auto Parts Inc	AAP.N	1.072935776
Comerica Inc	CMA Comerica Comerica Inc	CMA.N	1.066430516
Lennox International Inc	LII Lennox Lennox International Lennox International Inc	LII.N	1.065855962
Trimble Inc	TRMB Trimble Trimble Inc	TRMB.OQ	1.059118762
NiSource Inc	NI NiSource NiSource Inc	NI.N	1.056881613
Devon Energy Corp	DVN Devon Devon Energy Devon Energy Corp	DVN.N	1.054220105
Jacobs Engineering Group Inc	JEC Jacobs Jacobs Engineering Jacobs Engineering Group Jacobs Engineering Group Inc	JEC.N	1.0539016490000002
